ID,City,State,Population
421,Mountain View,California,"80,447"
422,Napa,California,"80,416"
423,Tustin,California,"80,395"
424,Lynchburg,Virginia,"80,212"
425,Lawrence,Massachusetts,"80,209"
426,Deerfield Beach,Florida,"79,764"
427,Brooklyn Park,Minnesota,"79,707"
428,New Rochelle,New York,"79,557"
429,Parma,Ohio,"79,425"
430,Alameda,California,"78,906"
431,Chino Hills,California,"78,822"
432,Springdale,Arkansas,"78,557"
433,Bloomington,Illinois,"78,005"
434,Bellflower,California,"77,790"
435,Racine,Wisconsin,"77,571"
436,Milpitas,California,"77,528"
437,Auburn,Washington,"77,472"
438,Pharr,Texas,"77,320"
439,Scranton,Pennsylvania,"77,291"
440,Folsom,California,"77,271"
441,Goodyear,Arizona,"77,258"
442,Plymouth,Minnesota,"77,216"
443,Fort Myers,Florida,"77,146"
444,Hammond,Indiana,"77,134"
445,Manteca,California,"76,908"
446,Loveland,Colorado,"76,897"
447,Lake Charles,Louisiana,"76,848"
448,Upland,California,"76,684"
449,St. Joseph,Missouri,"76,472"
450,Baldwin Park,California,"76,464"
451,Gary,Indiana,"76,424"
452,Perris,California,"76,331"
453,Baytown,Texas,"75,992"
454,Kalamazoo,Michigan,"75,984"
455,Layton,Utah,"75,655"
456,San Ramon,California,"75,639"
457,Boynton Beach,Florida,"75,569"
458,Wyoming,Michigan,"75,567"
459,Gastonia,North Carolina,"75,536"
460,Arlington Heights,Illinois,"75,525"
461,Union City,California,"75,322"
462,Bethlehem,Pennsylvania,"75,293"
463,Evanston,Illinois,"74,895"
464,Jonesboro,Arkansas,"74,889"
465,Franklin,Tennessee,"74,794"
466,Missouri City,Texas,"74,561"
467,Bolingbrook,Illinois,"74,518"
468,Schaumburg,Illinois,"74,446"
469,Camden,New Jersey,"74,420"
470,Iowa City,Iowa,"74,398"
471,Warner Robins,Georgia,"74,388"
472,Appleton,Wisconsin,"74,370"
473,Rapid City,South Dakota,"74,048"
474,New Braunfels,Texas,"73,959"
475,Albany,Georgia,"73,801"
476,Temple,Texas,"73,600"
477,Flower Mound,Texas,"73,547"
478,Rochester Hills,Michigan,"73,422"
479,Southfield,Michigan,"73,100"
480,Rock Hill,South Carolina,"72,937"
481,Turlock,California,"72,796"
482,Decatur,Illinois,"72,706"
483,New Britain,Connecticut,"72,558"
484,Apple Valley,California,"72,553"
485,Bismarck,North Dakota,"72,417"
486,Missoula,Montana,"72,364"
487,Waukesha,Wisconsin,"72,363"
488,Rancho Cordova,California,"72,326"
489,Gulfport,Mississippi,"72,076"
490,Lafayette,Indiana,"71,782"
491,Lauderhill,Florida,"71,626"
492,Flagstaff,Arizona,"71,459"
493,Wilmington,Delaware,"71,442"
494,Pawtucket,Rhode Island,"71,427"
495,Canton,Ohio,"71,323"
496,Redlands,California,"71,288"
497,Lynwood,California,"71,187"
498,Pittsburg,California,"70,679"
499,Passaic,New Jersey,"70,635"
500,Pasco,Washington,"70,579"
501,Frederick,Maryland,"70,060"
502,Weston,Florida,"70,015"
503,North Richland Hills,Texas,"69,798"
504,Maple Grove,Minnesota,"69,576"
505,Kissimmee,Florida,"69,369"
506,Union City,New Jersey,"69,296"
507,St. Charles,Missouri,"69,293"
508,Walnut Creek,California,"69,122"
509,South Jordan,Utah,"69,034"
510,Muncie,Indiana,"69,010"
511,Cedar Park,Texas,"68,918"
512,Woodbury,Minnesota,"68,820"
513,Palatine,Illinois,"68,766"
514,Bossier City,Louisiana,"68,485"
515,Dothan,Alabama,"68,468"
516,Mount Vernon,New York,"68,344"
517,Eau Claire,Wisconsin,"68,339"
518,Yorba Linda,California,"68,235"
519,Davis,California,"68,111"
520,Homestead,Florida,"67,996"
521,Waterloo,Iowa,"67,934"
522,Redondo Beach,California,"67,867"
523,Jacksonville,North Carolina,"67,784"
524,Gaithersburg,Maryland,"67,776"
525,Victoria,Texas,"67,670"
526,St. Cloud,Minnesota,"67,641"
527,Marysville,Washington,"67,626"
528,Greenville,South Carolina,"67,453"
529,Delray Beach,Florida,"67,371"
530,Camarillo,California,"67,363"
531,Georgetown,Texas,"67,140"
532,Kenner,Louisiana,"67,089"
533,Palo Alto,California,"67,024"
534,Jackson,Tennessee,"67,005"
535,South San Francisco,California,"66,980"
536,Rockville,Maryland,"66,940"
537,Portland,Maine,"66,937"
538,Yuba City,California,"66,845"
539,Johnson City,Tennessee,"66,677"
540,Daytona Beach,Florida,"66,645"
541,Oshkosh,Wisconsin,"66,579"
542,Broomfield,Colorado,"66,529"
