ID,City,State,Population
4790,Lake Worth,Texas,"4,871"
4791,Benson,Arizona,"4,870"
4792,Belleview,Florida,"4,869"
4793,Ward,Arkansas,"4,866"
4794,Wellington,Ohio,"4,866"
4795,Nashville,Georgia,"4,864"
4796,Carthage,Mississippi,"4,860"
4797,Manheim,Pennsylvania,"4,856"
4798,Penitas,Texas,"4,854"
4799,Mount Pleasant,Tennessee,"4,853"
4800,Duryea,Pennsylvania,"4,852"
4801,Toronto,Ohio,"4,851"
4803,Telford,Pennsylvania,"4,847"
4802,Shenandoah,Pennsylvania,"4,847"
4806,Porter,Indiana,"4,846"
4805,Perry,Utah,"4,846"
4804,Edenton,North Carolina,"4,846"
4807,Oak Park Heights,Minnesota,"4,845"
4808,Denver City,Texas,"4,842"
4809,Palos Park,Illinois,"4,838"
4810,Summit,Wisconsin,"4,838"
4811,Omak,Washington,"4,833"
4812,Whiting,Indiana,"4,831"
4813,Sheridan,Arkansas,"4,827"
4814,Cicero,Indiana,"4,826"
4815,Highlands,New Jersey,"4,824"
4816,Salem,New Jersey,"4,824"
4818,Sonora,California,"4,823"
4817,Crystal City,Missouri,"4,823"
4819,La Crescent,Minnesota,"4,822"
4822,Manchester,Maryland,"4,818"
4820,Colorado City,Arizona,"4,818"
4821,Hudson,Texas,"4,818"
4823,Flower Hill,New York,"4,817"
4825,Luray,Virginia,"4,816"
4824,Adairsville,Georgia,"4,816"
4826,Archer Lodge,North Carolina,"4,815"
4827,Franklin,New Jersey,"4,813"
4828,Obetz,Ohio,"4,811"
4829,Harrington Park,New Jersey,"4,806"
4830,Barling,Arkansas,"4,801"
4831,Island Park,New York,"4,799"
4832,Rocky Mount,Virginia,"4,798"
4833,Gladstone,Michigan,"4,796"
4834,Clinton,Indiana,"4,794"
4835,Hunters Creek Village,Texas,"4,792"
4836,Pleasant Garden,North Carolina,"4,789"
4838,Folkston,Georgia,"4,788"
4837,Colville,Washington,"4,788"
4839,Evansdale,Iowa,"4,786"
4840,Becker,Minnesota,"4,785"
4841,Polson,Montana,"4,777"
4842,Devine,Texas,"4,776"
4843,Lakeport,California,"4,772"
4844,Madisonville,Tennessee,"4,770"
4845,Seat Pleasant,Maryland,"4,769"
4846,Royersford,Pennsylvania,"4,762"
4847,Silverton,Ohio,"4,760"
4848,Tallassee,Alabama,"4,759"
4849,New Castle,Colorado,"4,753"
4851,Edgefield,South Carolina,"4,752"
4850,Auburn,Illinois,"4,752"
4853,Winchester,Indiana,"4,751"
4852,Dodgeville,Wisconsin,"4,751"
4855,Primera,Texas,"4,749"
4856,Rio Bravo,Texas,"4,749"
4854,LaBelle,Florida,"4,749"
4857,Farmville,North Carolina,"4,746"
4858,Old Westbury,New York,"4,743"
4860,Headland,Alabama,"4,741"
4859,Baxley,Georgia,"4,741"
4862,West Pittston,Pennsylvania,"4,741"
4861,Little Falls,New York,"4,741"
4864,North Braddock,Pennsylvania,"4,740"
4863,Mount Olive,North Carolina,"4,740"
4865,Neptune City,New Jersey,"4,737"
4866,Farrell,Pennsylvania,"4,736"
4867,Dallas,North Carolina,"4,734"
4868,Midway,North Carolina,"4,734"
4869,Winnsboro,Louisiana,"4,732"
4870,Meadows Place,Texas,"4,731"
4872,West Milton,Ohio,"4,729"
4871,Jonesboro,Georgia,"4,729"
4873,Cheboygan,Michigan,"4,726"
4874,New Lexington,Ohio,"4,722"
4875,DeWitt,Michigan,"4,719"
4876,Mineola,Texas,"4,719"
4877,St. Clair,Missouri,"4,718"
4878,Tulia,Texas,"4,717"
4880,Wamego,Kansas,"4,715"
4879,Brielle,New Jersey,"4,715"
4881,Goddard,Kansas,"4,710"
4884,Pittsburg,Texas,"4,707"
4883,Palmetto,Georgia,"4,707"
4882,Bloomfield,Wisconsin,"4,707"
4885,Princeton,Minnesota,"4,707"
4886,Boiling Springs,North Carolina,"4,704"
4887,Lexington,Ohio,"4,704"
4889,Edwardsville,Pennsylvania,"4,702"
4888,Blakely,Georgia,"4,702"
4890,Brisbane,California,"4,693"
4891,Mountain Grove,Missouri,"4,692"
4892,New Haven,Michigan,"4,692"
4893,Smithville,Tennessee,"4,692"
4894,La Grange,Texas,"4,690"
4895,Berwick,Louisiana,"4,689"
4896,New Boston,Texas,"4,686"
4898,Sherman,Illinois,"4,685"
4897,Granite Falls,North Carolina,"4,685"
4899,Newport,North Carolina,"4,684"
4901,Palacios,Texas,"4,682"
4900,Buckley,Washington,"4,682"
4902,Oak Hill,Tennessee,"4,681"
4903,Centreville,Maryland,"4,680"
4904,Jackson,California,"4,678"
4905,Baldwin City,Kansas,"4,677"
4906,Philomath,Oregon,"4,676"
4907,Hamilton,Montana,"4,674"
4908,Walnut Ridge,Arkansas,"4,674"
4909,New Roads,Louisiana,"4,673"
4910,Breckenridge Hills,Missouri,"4,668"
4911,Piedmont,Alabama,"4,666"
4912,Westlake,Louisiana,"4,659"
4913,Luverne,Minnesota,"4,658"
4914,Rio Communities,New Mexico,"4,653"
4915,Fox River Grove,Illinois,"4,651"
4918,New Freedom,Pennsylvania,"4,651"
4917,Montebello,New York,"4,651"
4916,Higginsville,Missouri,"4,651"
4919,Cherokee Village,Arkansas,"4,649"
4920,Eldon,Missouri,"4,643"
4922,Nowthen,Minnesota,"4,641"
4921,Ashland City,Tennessee,"4,641"
4923,Lemoyne,Pennsylvania,"4,638"
4924,McLoud,Oklahoma,"4,637"
4925,Madisonville,Texas,"4,636"
4926,Ardsley,New York,"4,634"
4927,Margaret,Alabama,"4,633"
4928,Fountain Hill,Pennsylvania,"4,632"
4929,Mount Ephraim,New Jersey,"4,631"
4930,Carver,Minnesota,"4,628"
4931,Elko New Market,Minnesota,"4,625"
4932,Donora,Pennsylvania,"4,622"
4933,Flemington,New Jersey,"4,621"
4935,Rock Hill,Missouri,"4,619"
4934,Kaplan,Louisiana,"4,619"
4936,Danville,Pennsylvania,"4,618"
4937,Parker,Florida,"4,617"
4938,Soldotna,Alaska,"4,617"
4939,Canastota,New York,"4,613"
4941,Spring Lake Heights,New Jersey,"4,611"
4940,South Bound Brook,New Jersey,"4,611"
4942,Hummelstown,Pennsylvania,"4,609"
4944,West Peoria,Illinois,"4,608"
4943,Berlin,Maryland,"4,608"
4945,Jim Thorpe,Pennsylvania,"4,607"
4946,Sayre,Oklahoma,"4,603"
4947,Dardanelle,Arkansas,"4,601"
4948,Avalon,Pennsylvania,"4,599"
4949,Portola Valley,California,"4,597"
4950,Newton Falls,Ohio,"4,596"
4951,Buffalo,Wyoming,"4,590"
4952,Greenfield,Ohio,"4,589"
4953,Phoenix,Oregon,"4,587"
4954,Hancock,Michigan,"4,586"
4955,Lexington,Missouri,"4,584"
4956,Edinburgh,Indiana,"4,577"
4957,Shelbyville,Illinois,"4,576"
4958,Negaunee,Michigan,"4,575"
4959,Montgomery,New York,"4,572"
4960,Jonesboro,Louisiana,"4,571"
4961,Ellisville,Mississippi,"4,567"
4962,Bridgeport,Pennsylvania,"4,561"
4963,Cobleskill,New York,"4,559"
4964,West York,Pennsylvania,"4,559"
4965,Humboldt,Iowa,"4,558"
4966,Mead,Colorado,"4,553"
4967,Mount Vernon,Missouri,"4,553"
4968,Bremen,Indiana,"4,552"
4969,Sergeant Bluff,Iowa,"4,551"
4970,Whitehouse,Ohio,"4,551"
4971,Wolverine Lake,Michigan,"4,546"
4972,Capitol Heights,Maryland,"4,545"
4973,Wiggins,Mississippi,"4,545"
4974,Point Pleasant Beach,New Jersey,"4,544"
4975,Ogallala,Nebraska,"4,543"
4976,Barnwell,South Carolina,"4,542"
4977,Marlow,Oklahoma,"4,541"
4978,Columbiana,Alabama,"4,539"
4979,Manlius,New York,"4,539"
4980,East Palestine,Ohio,"4,533"
4982,Winfield,Alabama,"4,531"
4981,Benton,Kentucky,"4,531"
4983,Kanab,Utah,"4,526"
4984,Ludlow,Kentucky,"4,524"
4985,Mullins,South Carolina,"4,524"
4986,Wayzata,Minnesota,"4,522"
4987,East Petersburg,Pennsylvania,"4,520"
4988,Windom,Minnesota,"4,519"
4989,Middletown,Maryland,"4,515"
4990,Montoursville,Pennsylvania,"4,514"
4991,Hyde Park,Utah,"4,513"
4992,Breese,Illinois,"4,511"
4993,Dansville,New York,"4,510"
4995,Hartwell,Georgia,"4,505"
4996,Silverthorne,Colorado,"4,505"
4994,Coldwater,Ohio,"4,505"
4997,Whiteville,Tennessee,"4,503"
4998,Nashville,Arkansas,"4,501"
4999,Russell,Kansas,"4,500"
5000,Wahoo,Nebraska,"4,499"
5001,Creedmoor,North Carolina,"4,498"
5002,Gibraltar,Michigan,"4,496"
5004,Winnfield,Louisiana,"4,495"
5003,Church Point,Louisiana,"4,495"
5005,Ste. Genevieve,Missouri,"4,493"
5007,Scott City,Missouri,"4,492"
5006,Ottawa Hills,Ohio,"4,492"
5008,Hollister,Missouri,"4,486"
5010,Wellsville,New York,"4,484"
5009,Aurora,Nebraska,"4,484"
5011,Hearne,Texas,"4,483"
5012,Daytona Beach Shores,Florida,"4,481"
5013,Vilonia,Arkansas,"4,478"
5014,Valdese,North Carolina,"4,477"
5015,Sullivan,Illinois,"4,475"
5016,Castle Hills,Texas,"4,474"
5018,West Hazleton,Pennsylvania,"4,472"
5017,Ashdown,Arkansas,"4,472"
5019,South Hill,Virginia,"4,471"
5020,Saukville,Wisconsin,"4,470"
5021,Pittsfield,Illinois,"4,469"
5022,Littlestown,Pennsylvania,"4,468"
5023,Selmer,Tennessee,"4,465"
5024,Oconto,Wisconsin,"4,463"
5025,Jessup,Pennsylvania,"4,458"
5026,Lindstrom,Minnesota,"4,457"
5028,Osage Beach,Missouri,"4,456"
5027,Buena,New Jersey,"4,456"
5029,Social Circle,Georgia,"4,452"
5031,St. James,Minnesota,"4,447"
5030,Beecher,Illinois,"4,447"
5032,Haskell,Arkansas,"4,445"
5033,Mount Vernon,Iowa,"4,444"
5034,Goodland,Kansas,"4,441"
5035,Lawrenceville,Illinois,"4,441"
5036,Crestline,Ohio,"4,439"
5037,Maize,Kansas,"4,438"
5038,Unalaska,Alaska,"4,437"
5039,Lebanon,Illinois,"4,433"
5040,Fayette,Alabama,"4,432"
5041,Coleman,Texas,"4,431"
5042,Amite City,Louisiana,"4,429"
5043,Coopertown,Tennessee,"4,429"
5044,Polk City,Iowa,"4,428"
5045,Geneva,Alabama,"4,424"
5046,Jenkintown,Pennsylvania,"4,422"
5047,California,Missouri,"4,421"
5049,Dexter,Michigan,"4,420"
5048,Cramerton,North Carolina,"4,420"
5051,Parker,Texas,"4,420"
5050,Elberton,Georgia,"4,420"
5054,Tarentum,Pennsylvania,"4,419"
5053,Perryville,Maryland,"4,419"
5052,Ligonier,Indiana,"4,419"
5055,Wolfforth,Texas,"4,417"
5056,Scottsville,Kentucky,"4,416"
5057,Mattawa,Washington,"4,413"
5058,Madeira Beach,Florida,"4,412"
5060,Verdigris,Oklahoma,"4,406"
5059,Ottawa,Ohio,"4,406"
5061,Clintonville,Wisconsin,"4,405"
5062,Greendale,Indiana,"4,402"
5064,South Lebanon,Ohio,"4,402"
5063,Larksville,Pennsylvania,"4,402"
5065,Bayside,Wisconsin,"4,398"
5066,Dilworth,Minnesota,"4,397"
5067,Florence,Mississippi,"4,396"
5069,Viroqua,Wisconsin,"4,395"
5068,Isle of Palms,South Carolina,"4,395"
5071,Tuscola,Illinois,"4,391"
5070,Surfside Beach,South Carolina,"4,391"
5072,Edwardsville,Kansas,"4,390"
5074,Harrogate,Tennessee,"4,388"
5073,Denton,Maryland,"4,388"
5075,Belton,South Carolina,"4,386"
5076,Black Diamond,Washington,"4,384"
5077,Winona,Mississippi,"4,383"
5078,Louisburg,Kansas,"4,382"
5079,San Diego,Texas,"4,382"
5080,Hamburg,Pennsylvania,"4,379"
5081,Beaver,Pennsylvania,"4,378"
5084,Ringgold,Georgia,"4,378"
5083,Pinetop-Lakeside,Arizona,"4,378"
5082,Hurstbourne,Kentucky,"4,378"
5085,Temple,Georgia,"4,378"
5086,Glassport,Pennsylvania,"4,377"
5087,Georgetown,Ohio,"4,376"
5088,North Kansas City,Missouri,"4,376"
5090,Rogersville,Tennessee,"4,375"
5089,Mauston,Wisconsin,"4,375"
5091,Sparta,Illinois,"4,374"
5092,Lyons,Georgia,"4,369"
5095,South Haven,Michigan,"4,366"
5094,Sauk Centre,Minnesota,"4,366"
5093,Greenville,Kentucky,"4,366"
5097,Tazewell,Virginia,"4,365"
5096,Del Mar,California,"4,365"
5098,Waverly,Ohio,"4,365"
5099,Lamar,Missouri,"4,363"
5101,Summerville,Georgia,"4,360"
5100,Adamsville,Alabama,"4,360"
5103,Rockford,Minnesota,"4,357"
5102,Plain City,Ohio,"4,357"
5104,Volo,Illinois,"4,354"
5105,Tiptonville,Tennessee,"4,349"
5106,St. Bernard,Ohio,"4,348"
5107,Garwood,New Jersey,"4,347"
5108,Jacksboro,Texas,"4,347"
5109,Pleasant View,Tennessee,"4,346"
5110,Whiteland,Indiana,"4,346"
5111,Shelley,Idaho,"4,342"
5113,Sparta,Michigan,"4,337"
5112,Medford,Wisconsin,"4,337"
5115,Barrow,Alaska,"4,335"
5114,Archbold,Ohio,"4,335"
5116,Buchanan,Michigan,"4,334"
5117,Mountain Lakes,New Jersey,"4,332"
5118,Narberth,Pennsylvania,"4,330"
5119,West Jefferson,Ohio,"4,329"
5120,Newport,Vermont,"4,328"
5121,Jourdanton,Texas,"4,327"
5123,Cortland,Illinois,"4,326"
5122,Caldwell,Texas,"4,326"
5125,Mount Pleasant,Pennsylvania,"4,325"
5124,Camanche,Iowa,"4,325"
5127,Groesbeck,Texas,"4,321"
5126,Coopersville,Michigan,"4,321"
5128,Springville,New York,"4,318"
5129,Walhalla,South Carolina,"4,318"
5131,Watertown,Minnesota,"4,316"
5130,Indian Rocks Beach,Florida,"4,316"
5132,Magee,Mississippi,"4,315"
5133,Prairie du Sac,Wisconsin,"4,313"
5134,American Falls,Idaho,"4,311"
5135,Osawatomie,Kansas,"4,308"
5137,Paxton,Illinois,"4,304"
5136,Berryville,Virginia,"4,304"
5138,Brookfield,Missouri,"4,303"
5139,Magnolia,New Jersey,"4,299"
5140,Rockmart,Georgia,"4,299"
5141,Buhl,Idaho,"4,298"
5142,Hometown,Illinois,"4,298"
5143,Atlantic Highlands,New Jersey,"4,295"
5145,Euharlee,Georgia,"4,293"
5144,Adel,Iowa,"4,293"
5146,La Joya,Texas,"4,293"
5147,Millsboro,Delaware,"4,293"
5148,Dawson,Georgia,"4,291"
5149,Morgan's Point Resort,Texas,"4,290"
5151,Mary Esther,Florida,"4,289"
5150,Dumas,Arkansas,"4,289"
5152,Cornwall,Pennsylvania,"4,288"
5153,Holmes Beach,Florida,"4,285"
5154,East Troy,Wisconsin,"4,282"
5155,Slatington,Pennsylvania,"4,281"
5156,Cockrell Hill,Texas,"4,280"
5157,Hokes Bluff,Alabama,"4,277"
5158,Vandalia,Missouri,"4,275"
5159,Bellville,Texas,"4,274"
5160,Clarkdale,Arizona,"4,272"
5161,Anna,Illinois,"4,269"
5162,Pilot Point,Texas,"4,269"
5163,Cornelia,Georgia,"4,267"
5165,Pittsboro,North Carolina,"4,266"
5164,Monte Vista,Colorado,"4,266"
5166,Chatsworth,Georgia,"4,264"
5167,Pendleton,Indiana,"4,263"
5168,Barboursville,West Virginia,"4,262"
5169,Sellersville,Pennsylvania,"4,261"
5170,West Wendover,Nevada,"4,261"
5171,Dillon,Montana,"4,257"
5173,Sebring,Ohio,"4,256"
5172,Blanchester,Ohio,"4,256"
5174,Riverdale,New Jersey,"4,253"
5175,Canton,North Carolina,"4,252"
5176,Springville,Alabama,"4,251"
5178,Le Roy,New York,"4,249"
5177,Carlisle,Iowa,"4,249"
5181,Spindale,North Carolina,"4,248"
5179,Bristow,Oklahoma,"4,248"
5180,Dilley,Texas,"4,248"
5183,La Verkin,Utah,"4,246"
5182,Bradley Beach,New Jersey,"4,246"
5184,Slaughterville,Oklahoma,"4,246"
5185,Grafton,North Dakota,"4,245"
5186,Mitchell,Indiana,"4,244"
5187,Westover,West Virginia,"4,243"
5188,Jersey Shore,Pennsylvania,"4,241"
5189,Hampton,Iowa,"4,239"
5191,Point Pleasant,West Virginia,"4,237"
5190,Lonoke,Arkansas,"4,237"
5192,North Wilkesboro,North Carolina,"4,235"
5193,Freeburg,Illinois,"4,234"
5194,Prescott,Wisconsin,"4,229"
5195,Indian River Shores,Florida,"4,228"
5196,Spring Valley Village,Texas,"4,224"
5197,Hickory Creek,Texas,"4,222"
5198,Barrington Hills,Illinois,"4,221"
5200,Smithville,Texas,"4,218"
5199,Sharpsville,Pennsylvania,"4,218"
5201,Taylor,Arizona,"4,217"
5202,China Grove,North Carolina,"4,216"
5204,Minersville,Pennsylvania,"4,214"
5203,Falls City,Nebraska,"4,214"
5205,Argo,Alabama,"4,213"
5207,Westville,New Jersey,"4,211"
5206,Scottdale,Pennsylvania,"4,211"
5208,Cotulla,Texas,"4,209"
5209,Dundee,Florida,"4,209"
5210,Comanche,Texas,"4,206"
5211,Gatlinburg,Tennessee,"4,206"
5212,Wayland,Michigan,"4,206"
5213,Paintsville,Kentucky,"4,203"
5215,Dimmitt,Texas,"4,199"
5214,Beaufort,North Carolina,"4,199"
5216,Dyersville,Iowa,"4,196"
5217,Jasper,Florida,"4,196"
5218,Ashville,Ohio,"4,194"
5219,Sullivan City,Texas,"4,194"
5220,Algood,Tennessee,"4,193"
5222,Tabor City,North Carolina,"4,193"
5221,Egg Harbor City,New Jersey,"4,193"
5223,Centralia,Missouri,"4,192"
5224,Chariton,Iowa,"4,191"
5225,Woodruff,South Carolina,"4,191"
5227,Williamston,South Carolina,"4,190"
5226,Waverly,New York,"4,190"
5228,Hazlehurst,Georgia,"4,186"
5229,Burlington,Colorado,"4,184"
5230,Bluffton,Ohio,"4,182"
5231,Medina,Tennessee,"4,182"
5232,Honesdale,Pennsylvania,"4,180"
5233,West Reading,Pennsylvania,"4,175"
5234,West Milwaukee,Wisconsin,"4,174"
5236,Burnham,Illinois,"4,170"
5235,Bellaire,Ohio,"4,170"
5238,Rosemont,Illinois,"4,169"
5237,Jefferson,Iowa,"4,169"
5239,Randleman,North Carolina,"4,166"
5240,Sandy Oaks,Texas,"4,166"
5241,Trent Woods,North Carolina,"4,164"
5242,Oakwood,Georgia,"4,161"
5243,Laurel,Delaware,"4,160"
5244,Semmes,Alabama,"4,155"
5246,Morgan,Utah,"4,154"
5245,Aldan,Pennsylvania,"4,154"
5247,Hallsville,Texas,"4,153"
5248,Monongahela,Pennsylvania,"4,152"
5249,Fayetteville,New York,"4,150"
5250,Grant-Valkaria,Florida,"4,150"
5251,Northwoods,Missouri,"4,150"
5252,Cross Plains,Wisconsin,"4,148"
5253,Rutherfordton,North Carolina,"4,147"
5254,Grant,Minnesota,"4,145"
5255,Ho-Ho-Kus,New Jersey,"4,142"
5256,Ridgeland,South Carolina,"4,141"
5257,Trenton,Tennessee,"4,140"
5258,Austin,Indiana,"4,139"
5259,Senoia,Georgia,"4,137"
5260,North East,Pennsylvania,"4,135"
5262,Peotone,Illinois,"4,134"
5261,Cedarville,Ohio,"4,134"
5263,Wadena,Minnesota,"4,134"
5264,Waverly,Tennessee,"4,133"
5265,Louisville,Tennessee,"4,127"
5266,Marine City,Michigan,"4,126"
5267,Forsyth,Georgia,"4,125"
5268,Sullivan,Indiana,"4,124"
5270,Shrewsbury,New Jersey,"4,122"
5269,Hamilton,New York,"4,122"
5271,Rice Lake,Minnesota,"4,121"
5272,Lathrup Village,Michigan,"4,119"
5273,St. James,Missouri,"4,119"
5274,Lafayette,Oregon,"4,116"
5275,Reedsport,Oregon,"4,112"
5276,Barnesville,Ohio,"4,111"
5277,Reminderville,Ohio,"4,109"
5278,Chelan,Washington,"4,108"
5279,Cold Spring,Minnesota,"4,108"
5283,Pipestone,Minnesota,"4,106"
5282,Morrison,Illinois,"4,106"
5281,Elkin,North Carolina,"4,106"
5280,Cannon Falls,Minnesota,"4,106"
5284,Leland,Mississippi,"4,104"
5286,Kewaskum,Wisconsin,"4,103"
5285,Broken Bow,Oklahoma,"4,103"
5288,South Chicago Heights,Illinois,"4,102"
5287,Berne,Indiana,"4,102"
5289,Pocomoke City,Maryland,"4,101"
5290,Goodview,Minnesota,"4,099"
5291,Forty Fort,Pennsylvania,"4,098"
5292,Burgaw,North Carolina,"4,096"
5293,Liberty,New York,"4,092"
5295,Sheffield,Ohio,"4,089"
5294,Fredericktown,Missouri,"4,089"
5297,Sinking Spring,Pennsylvania,"4,086"
5296,Scandia,Minnesota,"4,086"
5298,Butler,Missouri,"4,078"
5299,Metter,Georgia,"4,076"
5300,Haleyville,Alabama,"4,074"
5301,Fleetwood,Pennsylvania,"4,072"
5302,Pocola,Oklahoma,"4,070"
5303,Clay Center,Kansas,"4,069"
5304,Fulton,Mississippi,"4,066"
5308,Nassau Bay,Texas,"4,064"
5307,Malden,Missouri,"4,064"
5306,Caro,Michigan,"4,064"
5305,Bunkie,Louisiana,"4,064"
5309,Livingston,Tennessee,"4,062"
5310,Rigby,Idaho,"4,062"
5311,Fort Gibson,Oklahoma,"4,061"
5312,Manchester,Georgia,"4,061"
5314,Madison,Georgia,"4,060"
5313,Alfred,New York,"4,060"
5315,Aumsville,Oregon,"4,059"
5316,Algonac,Michigan,"4,056"
5318,Vidalia,Louisiana,"4,054"
5317,Port Aransas,Texas,"4,054"
5319,Medford Lakes,New Jersey,"4,053"
5320,Dewey-Humboldt,Arizona,"4,049"
5321,Kildeer,Illinois,"4,049"
5322,Stilwell,Oklahoma,"4,048"
5324,Ellenville,New York,"4,047"
5323,Chalfont,Pennsylvania,"4,047"
5325,Woodson Terrace,Missouri,"4,046"
5327,Weston,West Virginia,"4,044"
5326,Lowell,Michigan,"4,044"
5328,Grayson,Kentucky,"4,043"
5330,Manning,South Carolina,"4,042"
5329,Ely,Nevada,"4,042"
5331,Blanding,Utah,"4,036"
5332,Greencastle,Pennsylvania,"4,035"
5334,Fenton,Missouri,"4,032"
5333,Dwight,Illinois,"4,032"
5336,Mulberry,Florida,"4,031"
5335,Boyertown,Pennsylvania,"4,031"
5337,De Motte,Indiana,"4,030"
5338,Fremont,Michigan,"4,029"
5339,Moxee,Washington,"4,027"
5340,Springfield,Georgia,"4,027"
5341,San Joaquin,California,"4,024"
5342,Belleair,Florida,"4,022"
5344,Severance,Colorado,"4,021"
5343,Eldorado,Illinois,"4,021"
5345,Wilmer,Texas,"4,018"
5346,Caseyville,Illinois,"4,017"
5347,Columbus,Minnesota,"4,016"
5348,Wood Village,Oregon,"4,016"
5349,Rose Hill,Kansas,"4,015"
5350,Spencer,Oklahoma,"4,015"
5351,Forest City,Iowa,"4,013"
5353,Mosinee,Wisconsin,"4,012"
5352,Carolina Shores,North Carolina,"4,012"
5355,Crescent Springs,Kentucky,"4,009"
5354,Ball,Louisiana,"4,009"
5356,Argyle,Texas,"4,006"
5357,Mahanoy City,Pennsylvania,"4,006"
5358,Dundee,Michigan,"4,002"
5359,Thomasville,Alabama,"4,002"
5360,Colorado City,Texas,"4,001"
5361,Bloomfield Hills,Michigan,"3,999"
5362,Baden,Pennsylvania,"3,998"
5363,Fortville,Indiana,"3,998"
5364,Otsego,Michigan,"3,998"
5365,Chagrin Falls,Ohio,"3,995"
5369,Waynesburg,Pennsylvania,"3,993"
5368,Oaklyn,New Jersey,"3,993"
5367,Franklin,North Carolina,"3,993"
5366,Alvarado,Texas,"3,993"
5370,St. Joseph,Illinois,"3,990"
5371,Montpelier,Ohio,"3,988"
5372,Deer Park,Washington,"3,987"
5373,Akron,Pennsylvania,"3,983"
5375,Rossville,Georgia,"3,982"
5374,Davenport,Florida,"3,982"
5376,Weaverville,North Carolina,"3,981"
5377,Le Sueur,Minnesota,"3,979"
5378,Washington,Georgia,"3,978"
5380,Le Claire,Iowa,"3,974"
5379,Baldwin,Wisconsin,"3,974"
5382,Whitesboro,Texas,"3,973"
5381,Ovilla,Texas,"3,973"
5383,Fairway,Kansas,"3,972"
5384,New Lebanon,Ohio,"3,971"
5385,Shallotte,North Carolina,"3,970"
5386,Bunker Hill Village,Texas,"3,969"
5387,Charleroi,Pennsylvania,"3,969"
5389,Williamstown,Kentucky,"3,965"
5388,Herculaneum,Missouri,"3,965"
5390,Menands,New York,"3,964"
5391,Baxter Springs,Kansas,"3,963"
5392,Danielson,Connecticut,"3,963"
5395,Walthourville,Georgia,"3,959"
5394,Presidio,Texas,"3,959"
5397,Garden Ridge,Texas,"3,957"
5396,Chester,New York,"3,957"
5399,Washington Park,Illinois,"3,955"
5398,Fordyce,Arkansas,"3,955"
5400,Centerville,Minnesota,"3,953"
5401,Vineyard,Utah,"3,953"
5403,Gamewell,North Carolina,"3,946"
5402,Camdenton,Missouri,"3,946"
5404,Florence,Colorado,"3,943"
5405,Sykesville,Maryland,"3,941"
5406,Carroll Valley,Pennsylvania,"3,939"
5407,Marshall,Wisconsin,"3,938"
5409,Wallace,North Carolina,"3,938"
5408,South Point,Ohio,"3,938"
5410,Windber,Pennsylvania,"3,937"
5411,Portland,Michigan,"3,936"
5413,Park Rapids,Minnesota,"3,935"
5412,Elmira Heights,New York,"3,935"
5414,West Columbia,Texas,"3,933"
5415,Throop,Pennsylvania,"3,928"
5416,Walton,Kentucky,"3,927"
5417,Basalt,Colorado,"3,921"
5418,Lewisburg,West Virginia,"3,921"
5419,Wingate,North Carolina,"3,915"
5420,Huntingdon,Tennessee,"3,913"
5421,Montesano,Washington,"3,912"
5422,Madill,Oklahoma,"3,911"
5423,Swanton,Ohio,"3,910"
5424,Nichols Hills,Oklahoma,"3,908"
5425,Coquille,Oregon,"3,905"
5426,Sunset Beach,North Carolina,"3,902"
5427,Larned,Kansas,"3,900"
5428,Wonder Lake,Illinois,"3,899"
5431,Hephzibah,Georgia,"3,898"
5430,Friona,Texas,"3,898"
5429,Booneville,Arkansas,"3,898"
5433,Richwood,Texas,"3,898"
5432,Hiram,Georgia,"3,898"
5434,Lonsdale,Minnesota,"3,896"
5435,Elba,Alabama,"3,893"
5436,Carmel-by-the-Sea,California,"3,891"
5437,Scott City,Kansas,"3,890"
5438,Eastland,Texas,"3,889"
5440,Quitman,Georgia,"3,888"
5439,McGehee,Arkansas,"3,888"
5442,Williamston,Michigan,"3,887"
5441,Dupo,Illinois,"3,887"
5443,Citronelle,Alabama,"3,885"
5444,Hazlehurst,Mississippi,"3,883"
5445,North Wildwood,New Jersey,"3,882"
5447,Millstadt,Illinois,"3,878"
5446,Marshall,Illinois,"3,878"
5448,Ashland,Missouri,"3,876"
5449,Crittenden,Kentucky,"3,876"
5450,Carrollton,Kentucky,"3,874"
5451,Laureldale,Pennsylvania,"3,871"
5453,Saugerties,New York,"3,869"
5452,Lakewood,Illinois,"3,869"
5454,Denver,Pennsylvania,"3,867"
5455,Pennsburg,Pennsylvania,"3,867"
5456,Lancaster,Kentucky,"3,866"
5457,Norton,Virginia,"3,864"
5459,Valdez,Alaska,"3,862"
5458,Linden,Michigan,"3,862"
5460,Broadway,Virginia,"3,860"
5461,Shrewsbury,Pennsylvania,"3,858"
5463,Farmerville,Louisiana,"3,853"
5462,Belleville,Michigan,"3,853"
5465,Cleveland,Georgia,"3,851"
5464,Bordentown,New Jersey,"3,851"
5467,Madison,Illinois,"3,846"
5466,Kittanning,Pennsylvania,"3,846"
5468,Southgate,Kentucky,"3,845"
5469,Deephaven,Minnesota,"3,843"
5470,Clyde,Texas,"3,842"
5471,Catskill,New York,"3,837"
5475,Ridgway,Pennsylvania,"3,836"
5474,Monticello,Iowa,"3,836"
5473,Canton,Texas,"3,836"
5472,Brookville,Pennsylvania,"3,836"
5476,Hugoton,Kansas,"3,835"
5477,Mogadore,Ohio,"3,833"
5478,Sewickley,Pennsylvania,"3,833"
5479,Shannon Hills,Arkansas,"3,832"
